SKU,Location,As Entered,Standardized Full Name,Qty,Needs Confirmation,Stock Type,Pick Priority,Status
vef,Box 3,Eros Flame,Versace Eros Flame,3,FALSE,Packaged,1,Confirmed
int,Box 3,Intensly,Intensly,4,FALSE,Packaged,1,Confirmed
cav,Box 1,Creed Aventus,Creed Aventus,8,FALSE,Packaged,1,Confirmed
par,Box 1,Chanel Paris,Chanel No 5,5,FALSE,Packaged,1,Confirmed
ccm,Box 2,Coco M,Chanel Coco Mademoiselle,0,FALSE,Packaged,1,Confirmed
yslm,Box 2,Myself,YSL Myslf,5,FALSE,Packaged,1,Confirmed
bdcedp,Box 1,BDC EDP,Bleu de Chanel EDP,7,FALSE,Packaged,1,Confirmed
llp,Box 2,Libre Le Perfume,YSL Libre Le Parfum,6,FALSE,Packaged,1,Confirmed
bdcedt,Box 1,BDC EDT,Bleu de Chanel EDT,5,FALSE,Packaged,1,Confirmed
yslln,Box 2,YSL La Nuit,YSL La Nuit,3,FALSE,Packaged,1,Confirmed
lvon,Box 7,Louis Vuitton Ombre Nomade,Louis Vuitton Ombre Nomade,1,FALSE,Packaged,1,Confirmed
veedp,Box 3,Eros EDP,Versace Eros EDP,0,FALSE,Packaged,1,Confirmed
cce,Box 4,Chanel Chance,Chanel Chance,2,FALSE,Packaged,1,Confirmed
gasp,Box 3,Si Passion,Giorgio Armani Si Passione,2,FALSE,Packaged,1,Confirmed
gcf,Box 4,GC Flora,Gucci Flora,3,FALSE,Packaged,1,Confirmed
gasi,Box 3,Si Intense EDP,Giorgio Armani Si Intense EDP,1,FALSE,Packaged,1,Confirmed
val,Box 2,Valentino,Valentino EDP,2,FALSE,Packaged,1,Confirmed
vyd,Box 3,Yellow Dream,Yellow Dream,1,FALSE,Packaged,1,Confirmed
dse,Tub 2,Dior Sauvage,Dior Sauvage Elixir,0,FALSE,Packaged,1,Confirmed
omedt,Box 2,1 Million,Paco Rabanne 1 Million EDT,0,FALSE,Packaged,1,Confirmed
dhi,Box 2,Dior Homme,Dior Homme,2,FALSE,Packaged,1,Confirmed
mcb,Box 1,mancera cederat boise edp,mancera cederat boise edp,2,FALSE,Packaged,1,Confirmed
mrt,Box 1,Red Tobacco,Mancera Red Tobacco,4,FALSE,Packaged,1,Confirmed
gbp,Box 4,Bloom Perfum,Gucci Bloom Perfum,1,FALSE,Packaged,1,Confirmed
sbe,Box 7,Spice Bomb,Viktor & Rolf Spicebomb,0,FALSE,Packaged,1,Confirmed
ledp,Box 2,Libre EDP,YSL Libre EDP,1,FALSE,Packaged,1,Confirmed
